1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000
62.565,62.626,62.684,62.741,62.801,62.869,62.95,63.046,63.159,63.287,63.427,63.576,63.73,63.891,64.064,64.255,64.468,64.705,64.964,65.242
75.32439024,75.42926829,75.27560976,76.02926829,76.43414634,76.68536585,76.88292683,77.08292683,77.02926829,77.3804878,77.88292683,77.67804878,78.03170732,78.52926829,78.68292683,79.62682927,80.12682927,80.13170732,80.38292683,80.87804878
60.427,61.236,62.05,62.859,63.643,64.382,65.062,65.679,66.229,66.723,67.175,67.605,68.028,68.45,68.871,69.284,69.676,70.041,70.378,70.689
70.34439024,70.48268293,70.27487805,70.21853659,70.88609756,71.41902439,71.4702439,71.48829268,71.84463415,72.1704878,72.18536585,71.24146341,71.52243902,71.80341463,72.08439024,72.36536585,72.49512195,72.31707317,72.64195122,72.80780488
51.347,51.668,51.987,52.309,52.637,52.97,53.302,53.628,53.949,54.265,54.58,54.894,55.209,55.523,55.829,56.121,56.393,56.648,56.891,57.131
69.13926829,69.35780488,68.97365854,69.02585366,68.97219512,69.17341463,69.65121951,70.02341463,69.46170732,69.31560976,69.37707317,69.11707317,69.10121951,69.4697561,69.79170732,70.32878049,70.70243902,70.55780488,70.67707317,71.24634146
58.489,58.966,59.423,59.863,60.287,60.7,61.107,61.512,61.915,62.32,62.727,63.131,63.529,63.919,64.291,64.637,64.954,65.244,65.513,65.772
54.268,54.686,55.074,55.441,55.801,56.169,56.553,56.963,57.4,57.865,58.353,58.851,59.349,59.84,60.32,60.783,61.233,61.669,62.093,62.505
72.85609756,73.08807317,73.31368293,73.53146341,73.74236585,73.95141463,74.16253659,74.37770732,74.59590244,74.80909756,75.00526829,75.18095122,75.33612195,75.47680488,75.61756098,75.83170732,75.98536585,76.1804878,76.08292683,76.53658537
53.453,53.126,53.287,53.983,55.196,56.828,58.665,60.516,62.272,63.837,65.153,66.243,67.137,67.84,68.377,68.791,69.139,69.471,69.813,70.176
59.448,59.275,59.454,60.002,60.877,61.979,63.147,64.246,65.212,66.011,66.653,67.191,67.668,68.089,68.446,68.731,68.936,69.06,69.108,69.082
76.52146341,77.03780488,76.84560976,77.57658537,77.60243902,77.99073171,77.33902439,77.08292683,78.14097561,78.03634146,77.99195122,78.7602439,78.93463415,79.24707317,77.98439024,78.77780488,78.88536585,79.60243902,79.35121951,79.65365854
74.35390244,74.81463415,74.6402439,75.3895122,75.47073171,75.77073171,76.2195122,76.37073171,76.8195122,76.97073171,77.0195122,77.4195122,77.72195122,77.92195122,78.17073171,78.52195122,78.82439024,78.97560976,79.42439024,79.77804878
71.012,71.217,71.416,71.614,71.823,72.056,72.317,72.601,72.903,73.204,73.485,73.727,73.918,74.053,74.133,74.167,74.172,74.164,74.152,74.142
66.656,67.086,67.5,67.899,68.283,68.649,68.992,69.311,69.604,69.872,70.113,70.331,70.529,70.712,70.885,71.053,71.219,71.386,71.556,71.73
76.41439024,76.92292683,76.96146341,77.36536585,77.6504878,78.06463415,78.48365854,78.39926829,78.81804878,78.83682927,79.10073171,79.15390244,79.29365854,79.68707317,79.53634146,80.2002439,80.42414634,80.50146341,80.57073171,81.07609756
66.70609756,66.78780488,67.66219512,68.53658537,68.53658537,68.91341463,69.2902439,68.84878049,68.2902439,68.33658537,67.6,67.4,65.4,64.9,63.5,63.6,64,64.5,65.63,65.45
58.316,58.676,58.94,59.093,59.12,59.01,58.773,58.422,57.967,57.406,56.736,55.973,55.151,54.31,53.486,52.709,52.014,51.448,51.059,50.921
63.26363415,63.65887805,64.0775122,64.50492683,64.91895122,65.29378049,65.61119512,65.85858537,67.90731707,68.29756098,68.55121951,68.10243902,67.19268293,66.03902439,65.7902439,66.54390244,66.89268293,67.05121951,68.65609756,68.55853659
33.342,39.157,44.173,48.025,50.563,51.916,52.587,52.999,53.302,53.595,53.916,54.228,54.514,54.82,55.189,55.653,56.212,56.862,57.604,58.432
56.266,56.569,56.886,57.221,57.579,57.962,58.366,58.783,59.209,59.636,60.053,60.455,60.837,61.198,61.539,61.866,62.188,62.509,62.829,63.144
66.54634146,67.09512195,67.54634146,68.19512195,68.79512195,69.44634146,69.99756098,70.54878049,71.04878049,71.59756098,72.04634146,72.49756098,72.99756098,73.39756098,73.7,74.15121951,74.60243902,75.00487805,75.4097561,75.9097561
70.028,70.344,70.64,70.914,71.167,71.398,71.61,71.805,71.985,72.15,72.3,72.435,72.556,72.666,72.764,72.852,72.931,73.004,73.074,73.142
49.386,49.753,50.162,50.61,51.084,51.566,52.04,52.497,52.935,53.364,53.799,54.258,54.753,55.285,55.851,56.44,57.04,57.637,58.225,58.803
68.113,68.287,68.478,68.689,68.918,69.163,69.42,69.689,69.969,70.266,70.584,70.929,71.3,71.699,72.125,72.576,73.046,73.528,74.017,74.507
46.474,46.776,46.962,47.038,47.004,46.862,46.645,46.399,46.174,46.046,46.097,46.357,46.832,47.506,48.314,49.163,49.963,50.657,51.234,51.734
64.771,65.306,65.793,66.235,66.644,67.03,67.405,67.775,68.141,68.503,68.85,69.175,69.469,69.732,69.965,70.169,70.352,70.522,70.684,70.852
68.484,68.803,69.11,69.407,69.698,69.985,70.266,70.54,70.81,71.074,71.335,71.592,71.843,72.087,72.323,72.547,72.759,72.958,73.144,73.319
68.529,68.801,68.975,69.057,69.079,69.086,69.121,69.209,69.352,69.509,69.62,69.639,69.557,69.403,69.259,69.237,69.419,69.845,70.503,71.333
57.319,57.901,58.437,58.91,59.309,59.632,59.868,60,60.003,59.837,59.464,58.868,58.05,57.022,55.782,54.334,52.728,51.034,49.328,47.691
70.46073171,70.83682927,70.77780488,70.32,70.50121951,72.08073171,71.93463415,71.76219512,71.42536585,71.16073171,70.36414634,70.23439024,68.9104878,68.5302439,69.00634146,70.10804878,70.90902439,71.2195122,71.57073171,72.0195122
72.35768293,72.65346341,72.95887805,73.27192683,73.5857561,73.89460976,74.1937561,74.48034146,74.75241463,75.01041463,75.46341463,75.77073171,75.71219512,76.37073171,76.51219512,76.5195122,76.8804878,77.01707317,77.77073171,77.87317073
68.78634146,69.32829268,69.11902439,69.16292683,69.29146341,70.62243902,70.69292683,70.61536585,70.15536585,69.27317073,69.03243902,68.39609756,66.72268293,65.66439024,66.39121951,68.77658537,69.34926829,69.01219512,69.74292683,70.31463415
74.33,74.677,75.02,75.362,75.702,76.036,76.363,76.68,76.99,77.296,77.607,77.926,78.253,78.588,78.925,79.256,79.573,79.872,80.15,80.407
58.339,59.139,59.936,60.717,61.469,62.188,62.877,63.535,64.157,64.732,65.251,65.715,66.128,66.501,66.846,67.175,67.508,67.86,68.245,68.684
65.022,65.205,65.499,65.887,66.33,66.772,67.156,67.44,67.605,67.643,67.563,67.408,67.221,67.03,66.867,66.761,66.722,66.752,66.852,67.006
49.26,49.442,49.56,49.634,49.694,49.781,49.932,50.176,50.53,51.003,51.595,52.278,53.022,53.808,54.616,55.43,56.239,57.028,57.782,58.485
53.998,54.913,55.787,56.621,57.424,58.213,59.008,59.823,60.664,61.529,62.413,63.302,64.185,65.059,65.923,66.784,67.644,68.501,69.348,70.173
67.031,67.493,67.942,68.38,68.809,69.232,69.649,70.062,70.469,70.866,71.248,71.61,71.953,72.279,72.598,72.925,73.268,73.625,73.988,74.34
68.77360976,68.944,69.16904878,69.44663415,69.76365854,70.09495122,70.41295122,70.69763415,70.942,71.14763415,71.32565854,71.49473171,71.67092683,71.69268293,71.84878049,72.49512195,72.44634146,72.29756098,72.7902439,72.94634146
40.435,41.173,41.879,42.545,43.17,43.759,44.315,44.838,45.323,45.746,46.076,46.305,46.445,46.52,46.573,46.658,46.823,47.103,47.515,48.069
73.31090244,73.59814634,73.94,74.33097561,74.75814634,75.20419512,75.64482927,76.06265854,76.44526829,76.78607317,77.08446341,77.35080488,77.5934878,77.81753659,77.2902439,77.34146341,77.73902439,77.58780488,77.5,78.34878049
53.315,53.726,54.14,54.556,54.97,55.375,55.768,56.144,56.505,56.849,57.18,57.504,57.823,58.141,58.46,58.78,59.101,59.422,59.744,60.063
73.07034146,73.25570732,73.42185366,73.57109756,73.71134146,73.85514634,74.00687805,74.16390244,74.31797561,74.44336585,74.51041463,74.50065854,74.40860976,74.24221951,74.02221951,73.77878049,73.54904878,73.36385366,73.23863415,73.18207317
57.074,57.295,57.595,57.968,58.392,58.836,59.266,59.655,59.992,60.268,60.486,60.67,60.841,61.015,61.211,61.447,61.73,62.063,62.446,62.869
43.521,43.527,43.56,43.637,43.772,43.975,44.235,44.541,44.887,45.261,45.647,46.033,46.41,46.772,47.123,47.47,47.826,48.194,48.572,48.946
55.486,56.066,56.643,57.204,57.735,58.226,58.671,59.065,59.405,59.688,59.914,60.092,60.231,60.341,60.426,60.493,60.545,60.593,60.643,60.706
